,Athlete ID,Start,Stop,Total Time (s),Moving Time (s),Distance (mi),Elevation Gain (ft),Elevation Loss (ft)
36,3ea152571f27bbd334891f82666ba5e86a391ca8fa782c8b9df5688414355f081e5105c3a4b3952ee073983a8b312379dc6604ff33d1d7b0ad403e92b613ae45,2020-05-21T20:52:09Z,2020-05-21T21:59:49Z,4060.0,3997.0,2.491114391951006,91.86351706036744,65.61679790026245
37,8a93117d85e714c47bce182e4c28dddd8a35fa5e4f1347192a4f47eebc7eb2211d03a099e56bbbdb31e9bd57e0da85fb20d82dec0256f94962ebbe425f6d2d6d,2020-05-19T11:27:49Z,2020-05-19T12:34:08Z,3979.0,3979.0,5.975447138709933,187.007874015748,196.85039370078738
38,537bfd2bbcd58003c719ec7a25f8ab2db78fb22fa58e2ef9200a851f53ee49960a3984f3ff3319a5f4dd6e50c0e58a4decae41d5997a84fd1847abdd3b258d8e,2020-04-06T14:08:49Z,2020-04-06T14:27:53Z,1144.0,1144.0,0.9785167123995864,39.370078740157474,39.370078740157474
39,3f224e581ea8449703e46e335126735b76bc5c41b3ccf69bd30dbbb78b86d47143ce669793b02b05adde7f08954a04adf01c8194d496b51da0db3d948c680b47,2020-03-20T20:42:10Z,2020-03-20T21:42:39Z,3629.0,3111.0,1.1097316670643442,39.370078740157474,49.212598425196845
40,50d141b3bc04e98e6f208b0d1672fef708d460da17593ee7445a489cb7a09085e59fa3a7e93adb9bcd9241f79d08b8dca39d22b6bc44c930b975694057bda59a,2020-03-08T16:25:23Z,2020-03-08T16:53:54Z,1711.0,1711.0,0.8899278215223096,39.370078740157474,39.370078740157474
41,7e1f0879870b9a7d8d3224301285fd4086e9a265eadf8da8bca7017a513ed1309a2d9948660f816daf222ab98dc8bf7be1dbe208cd776e91ef3e739471968a61,2020-03-01T17:30:59Z,2020-03-01T18:08:05Z,2226.0,2226.0,1.7706034259922054,45.93175853018372,49.212598425196845
42,ada61d4c2ea50f71c25371c255f66175ea00539fcb0476264b1c7a56af9d8e26a4be5b86387133e47b58813ef193a43ea2e1b6644bd39dedb697213263568a5c,2019-09-25T21:47:32Z,2019-09-25T22:55:08Z,4056.0,3687.0,2.615500477213075,75.45931758530183,72.1784776902887
43,59e82513ed8563c9a7e555a460eaa3bc02673d725421c843c724cc2127d6c021b047b9ce205399b154631191d49a1872c8faa28e6988bd3f87a2ff3e2ff4a9ce,2019-09-14T18:43:15Z,2019-09-14T19:35:38Z,3143.0,2885.0,1.9251135866539408,55.77427821522309,62.33595800524934
44,a20f809f22034d3f994136d635a786cc8a181310a51a85dc72d425a120db14e693582d6a22ccd078414bbe63bc68c9fbee475d5d469c6e360b45480e12a74288,2019-06-19T19:07:55Z,2019-06-19T20:25:02Z,4627.0,4467.0,3.1120444106418517,91.86351706036744,91.86351706036744
45,26f9de9c629d2bdacb35c4375e81c2b0cab80145580dd918b8c149584c90ccbb4e9e08d138f0343de37ed56bf32da5e3729d0d68070a53cf12f03f6c18704589,2019-06-11T23:22:51Z,2019-06-11T23:57:03Z,2052.0,2052.0,1.354837747554283,59.055118110236215,32.80839895013123
46,62d4ee3950e933771f3f8e6943721f8eb3b8c5ff97d618403310b94e9ac690bed75ca2c8d337dbd2e4d3819e4c701735c8a0233a4362baa806d97b881dd58350,2019-03-09T12:13:55Z,2019-03-09T13:13:08Z,3553.0,3499.0,1.9472281873856676,88.58267716535433,88.58267716535433
