Athlete ID,Start,Stop,Total Time (s),Moving Time (s),Distance (mi),Elevation Gain (ft),Elevation Loss (ft)
fc09e8b2c0588acd64558da8859f2bc81b7413adb21064de9fc0e66e9cea056bbd6548f2cc70db94e72348e5d223f3102b7497902c6b05ad867e3e5de8d960da,2020-07-13T16:43:28Z,2020-07-13T23:35:34Z,24726.0,19555.0,12.542893253400143,1217.1916010498687,1243.4383202099737
4f2fdd347cfa5618148ad5641b1cf9d3dff31207884eecfe449ca03a1f0360eb17f05c723d10a238482a58c410f24cade634e6815e2d26686de77f8d6cce766c,2019-08-15T15:29:15Z,2019-08-15T19:30:08Z,14453.0,12189.0,9.266173049391552,1145.0131233595798,1040.02624671916
da697292f9baa173a49a20f24c75dc392173a737dad25480e6810c5e5f4fcb8b4d950d653914500d725af4edd19329f6ec664c1ae955e968c4eb3e891202bc4f,2018-07-18T17:21:38Z,2018-07-18T19:48:17Z,16602.0,15402.0,9.591647279885468,1246.7191601049867,1240.1574803149606
7ba7010e89b177b8091af66ee27683d4ab5d7f6679af391c64b14f429f0c24d2f958c0fe4f9edd6daf541e7924e84944b7a0f05aeb8bf9ded6962567bcad1506,2017-09-01T21:36:07Z,2017-09-01T23:47:00Z,7853.0,3385.0,2.404047860494711,866.1417322834644,367.45406824146977
644c76e5d6a5dbb6eee3f44e667af96b212459ab1272d304d9ce823f286ac674a7d94b32515506143f2842527b9ce4bef02dcd613ae62d196237b5ce522d2d7f,2020-09-26T18:30:18Z,2020-09-27T00:17:26Z,20828.0,20103.0,12.430393999045572,1141.7322834645668,1328.7401574803148
47b23de7828788d22ad91aa3161db923987f29b51febe3115091f8b2dc09f0d33f49ef4fa9a76aa0a74b9f52f102b5d148b98df15efb077f8ab30faddf73baf1,2019-06-27T15:52:31Z,2019-06-27T20:50:58Z,17907.0,17384.0,12.070775421538215,1446.8503937007872,1466.535433070866
6ade4c7a9791f2172bd457d0947ce7cd529ee41de9f912f66efd957337369bb95392ab725cb2041e1e639ecbc58c1bb91e5081b7dd8773d649e877240bc3d360,2020-07-22T15:36:55Z,2020-07-22T20:55:46Z,27445.0,23473.0,16.25448008629603,2421.2598425196848,2424.540682414698
2e27a5f4bf465525c73546df727c307ce29500d1abda53b66bfea2cda34427e832c6eddda8e72efde3304a25dd42f5a7dc62d331a158ecc0171df20b2e4f8d13,2019-08-10T14:54:36Z,2019-08-10T21:09:01Z,22465.0,21858.0,19.80770425713831,2011.1548556430444,2139.107611548556
d3b446737bbe4ad23915b9b7129e7f1b52790b0b70f67c85ed57228ab13f0dbddc3e1ad5d8bcf5592e2af9f265f08a17b1a9b4c252b24ec966498204b6584cbe,2000-01-28T22:57:23Z,2000-01-29T01:15:44Z,8301.0,7600.0,4.6896685854609075,308.39895013123356,1040.02624671916
1d912e7bcdcb0b94b510541f748c8be2de286fc99cf550f97497444263cc76b8637e6023d519ee41e90657fd0f7b183913c2c87873272c69ec5a0bfce9a7021b,2020-07-08T18:47:11Z,2020-07-08T23:22:01Z,16490.0,15158.0,9.651994850075557,1158.1364829396325,1131.8897637795274
7a2ca71780dde8bbd247aa000cb5957f917f423d798a87ccd16c6fc8162258ce340e2afa426ff1d51cf70069f06417f86a085a0e49372ac45523f03ad9d90d07,2020-09-20T15:37:06Z,2020-09-20T21:40:55Z,21829.0,16882.0,11.127080350751609,1256.5616797900261,1230.3149606299212
10e42212c1aa05ea132e2a6172224c1a5a8d0d7ea7d3d7ea75ebeeae66137dac246406c11f963f9a6af5196a909171daf271c607a9b23680769d414432ff3be9,2020-10-07T15:56:02Z,2020-10-07T22:01:30Z,21928.0,17231.0,10.620147090988626,1220.4724409448818,1220.4724409448818
daf90f4075a04fdef498111cc4e385de765d7843b6adbdc3c0e07d5212f889d909402c7d323c19ae705de4cc03b4862cd21dbd960b343019377c8d1a04342c0e,2020-10-09T18:51:32Z,2020-10-09T22:54:45Z,14593.0,13793.0,8.835121639624592,1125.3280839895012,1125.3280839895012
53549df38f3a50ebc7c7964727cdf6795bb7e4cbd976c7ea119d7ce3869f845b554161b9de0ed6065b005717662d44cce3d5f758a7227bc810f34cfb5d75c009,2020-07-05T22:36:04Z,2020-07-05T23:46:42Z,48419.0,39843.0,21.541621927940824,2965.879265091863,2785.4330708661414
c7deffbd360cb37916dfd5f6dbb9ddd3eae7fee76852715a58ca72697976291c72258b6595d3e569b3e01d8e027a54fe29d6f618103c999e99540dd2421c5132,2020-08-20T14:43:11Z,2020-08-20T23:58:28Z,33317.0,27092.0,15.734106567644952,2962.5984251968503,4268.372703412073
941b9313e8f634773b1003f9696867fe8d67d5b3bc382d8d91102f92dbc642cbb2685a33140ec3730f55fcb25f24763329ab367fd436e52bbb57aaef00e28c90,2018-08-06T15:20:36Z,2018-08-06T18:05:04Z,9868.0,8392.0,4.104299640101805,810.3674540682414,803.8057742782152
80e913ed7131f529ac4335ff6736b02f3be95d7ac3c8a5978de5217eefdf89d41c7b7c3e39e74a03a47479e026dfb8583549cdf2eb8c73ed90b164b88f12be44,2020-07-02T19:08:31Z,2020-07-02T22:42:14Z,12823.0,11501.0,6.2532373439115565,974.4094488188975,967.8477690288713
ee6f4a993632e8119d41a38d6cd1572d36f4afc473d866bad2d150ba78302d10faffd8edd2265b11b54da9169b534daf6f75a7eb09122dbfc2660171266f6835,2020-08-17T18:22:02Z,2020-08-17T21:11:35Z,10173.0,8084.0,5.490945378986717,1387.795275590551,45.93175853018372
bd92410076d73908468721484fe6a2db65889014a74c7ccaa008a620d4eee26298cf7243ccdcb35eb476793dfd2a853bd3c33ce124e9133fe3a9df5e8bb771db,2020-08-13T14:45:03Z,2020-08-13T18:17:55Z,22488.0,20634.0,14.489350940507434,1525.5905511811022,1499.3438320209973
523d3e5bb91189539aaf3a65e98ca9c550414954ce601c78e3b3b50d689dd91afcd7b03667f8fb94bfae83ceaa0fb38163bf69bde94826db137432a389f2d598,2020-10-13T19:30:07Z,2020-10-13T23:39:12Z,14945.0,13968.0,8.252169828203293,1289.3700787401574,1286.089238845144
